Num FreeMem LAone LAfive LAten Prun Ptotal
 126 273744 0.010000 0.230000 0.540000 2 403
 127 273632 0.010000 0.230000 0.540000 2 402
 128 273756 0.010000 0.230000 0.540000 2 402
 129 273680 0.010000 0.230000 0.540000 2 403
 130 273472 0.010000 0.230000 0.540000 2 402
 131 273628 0.010000 0.230000 0.540000 2 402
 132 273800 0.010000 0.230000 0.540000 2 403
 133 273660 0.010000 0.220000 0.530000 2 402
 134 273600 0.010000 0.220000 0.530000 2 402
 135 273676 0.010000 0.220000 0.530000 2 403
 136 273628 0.170000 0.250000 0.540000 2 402
 137 273664 0.170000 0.250000 0.540000 2 402
 138 273524 0.160000 0.250000 0.540000 1 403
 139 273504 0.160000 0.250000 0.540000 2 402
 140 273536 0.160000 0.250000 0.540000 2 402
 141 273428 0.300000 0.280000 0.550000 2 403
 142 273468 0.300000 0.280000 0.550000 3 402
 143 273568 0.440000 0.310000 0.550000 2 402
 144 273368 0.440000 0.310000 0.550000 2 403
 145 272732 0.440000 0.310000 0.550000 2 402
 146 272732 0.560000 0.330000 0.560000 2 402
 147 272624 0.560000 0.330000 0.560000 2 403
 148 272480 0.520000 0.330000 0.560000 2 402
 149 272480 0.520000 0.330000 0.560000 2 402
 150 272572 0.520000 0.330000 0.560000 2 403
 151 272496 0.560000 0.340000 0.560000 3 402
 152 272528 0.560000 0.340000 0.560000 2 402
 153 272420 0.510000 0.330000 0.560000 2 403
 154 272436 0.510000 0.330000 0.560000 2 402
 155 272468 0.510000 0.330000 0.560000 2 402
 156 272484 0.470000 0.330000 0.550000 2 403
 157 272352 0.470000 0.330000 0.550000 2 402
 158 272184 0.430000 0.320000 0.550000 1 402
 159 272108 0.430000 0.320000 0.550000 1 403
 160 272324 0.430000 0.320000 0.550000 1 402
 161 272280 0.400000 0.320000 0.550000 2 402
 162 272172 0.400000 0.320000 0.550000 2 403
 163 272312 0.370000 0.310000 0.540000 2 402
 164 272252 0.370000 0.310000 0.540000 1 402
 165 272012 0.370000 0.310000 0.540000 2 403
 166 272092 0.340000 0.310000 0.540000 2 402
 167 272124 0.340000 0.310000 0.540000 2 402
 168 272200 0.310000 0.300000 0.540000 2 403
 169 272156 0.310000 0.300000 0.540000 2 402
 170 272312 0.310000 0.300000 0.540000 2 402
 171 272172 0.280000 0.300000 0.540000 2 403
 172 272216 0.280000 0.300000 0.540000 2 402
 173 272060 0.260000 0.290000 0.530000 2 402
 174 272056 0.260000 0.290000 0.530000 2 403
 175 272092 0.260000 0.290000 0.530000 2 402
 176 272000 0.320000 0.300000 0.540000 2 402
 177 272016 0.320000 0.300000 0.540000 2 403
 178 272028 0.290000 0.300000 0.530000 1 402
 179 271884 0.290000 0.300000 0.530000 2 402
 180 271852 0.290000 0.300000 0.530000 2 403
 181 272044 0.270000 0.290000 0.530000 2 402
